id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough
8110,CBG Helps Haiti Rm #2,22486,Lisel,Park Slope,40.68001,-73.97865,Private room,110.0,2,71,2019-07-02,0.61,6,304,11217,0,Brooklyn
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120.0,2,88,2019-06-19,0.73,2,233,11221,0,Brooklyn
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Windsor Terrace,40.65599,-73.97519,Private room,60.0,1,19,2019-06-23,1.37,2,85,11218,0,Brooklyn
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,Inwood,40.86482,-73.92106,Private room,44.0,3,108,2019-06-15,1.11,3,311,10034,0,Manhattan
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,East Village,40.7292,-73.98542,Entire home/apt,180.0,14,29,2019-04-19,0.24,1,67,10003,0,Manhattan
9668,front room/double bed,32294,Ssameer Or Trip,Harlem,40.82245,-73.95104,Private room,50.0,3,242,2019-06-01,2.04,3,355,10031,0,Manhattan
9704,Spacious 1 bedroom in luxe building,32045,Teri,Harlem,40.81305,-73.95466,Private room,52.0,2,88,2019-06-14,1.42,1,255,10027,0,Manhattan
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,Greenpoint,40.72219,-73.93762,Private room,55.0,4,197,2019-06-15,1.65,3,284,11222,0,Brooklyn
9783,back room/bunk beds,32294,Ssameer Or Trip,Harlem,40.8213,-73.95318,Private room,50.0,3,273,2019-07-01,2.37,3,359,10031,0,Manhattan
10452,Large B&B Style rooms,35935,Angela,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70.0,1,74,2019-05-12,0.66,2,269,11216,0,Brooklyn
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,South Slope,40.66869,-73.9878,Private room,89.0,4,168,2019-06-21,1.41,3,340,11215,0,Brooklyn
11708,Cute apt in artist's home,44145,Tyrome,Bushwick,40.70186,-73.92745,Entire home/apt,85.0,2,231,2019-06-22,1.96,2,22,11237,0,Brooklyn
12048,LowerEastSide apt share shortterm 1,7549,Ben,Lower East Side,40.71401,-73.98917,Shared room,40.0,1,214,2019-07-05,1.81,4,188,10002,0,Manhattan
12192,ENJOY Downtown NYC!,46978,Edward,East Village,40.7229,-73.98199,Private room,68.0,2,245,2019-06-21,2.08,2,96,10009,0,Manhattan
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,South Slope,40.66278,-73.97966,Entire home/apt,120.0,3,15,2019-05-27,0.39,1,345,11215,0,Brooklyn
12318,West Side Retreat,16800,Cyn,Upper West Side,40.79009,-73.97927,Private room,135.0,4,81,2019-06-16,0.69,1,273,10024,1,Manhattan
12343,BEST BET IN HARLEM,47727,Earl,Harlem,40.81175,-73.94478,Entire home/apt,150.0,7,97,2019-06-13,0.84,1,309,10027,0,Manhattan
12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150.0,29,11,2019-06-05,0.49,1,95,11225,0,Brooklyn
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Long Island City,40.74771,-73.9474,Private room,130.0,3,248,2019-07-01,2.25,1,215,11101,0,Queens
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110.0,7,61,2019-05-25,0.52,1,265,11207,0,Brooklyn
13394,Fort Greene brownstone ,52335,Alexander,Fort Greene,40.69142,-73.97376,Private room,80.0,3,135,2019-06-17,1.16,2,192,11205,0,Brooklyn
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80.0,1,112,2019-06-16,1.01,3,251,11216,0,Brooklyn
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Upper West Side,40.78635,-73.97008,Entire home/apt,151.0,2,73,2019-07-07,0.63,1,302,10024,1,Manhattan
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Williamsburg,40.7042,-73.9356,Entire home/apt,228.0,3,82,2019-05-17,0.7,1,140,11206,0,Brooklyn
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Greenpoint,40.73506,-73.95392,Entire home/apt,144.0,2,328,2019-06-29,2.82,1,234,11222,0,Brooklyn
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Kips Bay,40.73961,-73.98074,Entire home/apt,200.0,7,19,2019-03-25,0.22,1,257,10010,0,Manhattan
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Williamsburg,40.70881,-73.9593,Entire home/apt,150.0,30,105,2019-06-22,0.9,1,30,11211,0,Brooklyn
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Lower East Side,40.72004,-73.99104,Private room,110.0,5,19,2019-05-18,0.17,1,301,10002,0,Manhattan
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Hell's Kitchen,40.75531,-73.99293,Private room,69.0,2,289,2019-06-09,2.49,2,294,10018,1,Manhattan
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Greenpoint,40.72401,-73.93788,Private room,49.0,4,138,2019-06-04,1.19,3,320,11211,0,Brooklyn
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,SoHo,40.7221,-73.99775,Entire home/apt,180.0,30,21,2019-06-29,0.3,1,154,10012,0,Manhattan
15385,"Very, very cozy place",60252,Cristina,Williamsburg,40.71185,-73.96204,Private room,80.0,2,42,2019-06-30,0.38,1,263,11211,0,Brooklyn
15711,2 bedroom - Upper East Side-great for kids,61491,D,Upper East Side,40.77065,-73.95269,Entire home/apt,250.0,2,66,2019-03-30,0.57,2,231,10075,1,Manhattan
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Prospect Heights,40.67811,-73.96428,Entire home/apt,200.0,30,143,2019-01-26,1.33,2,297,11238,0,Brooklyn
16421,Your Heaven in Hells Kitchen,63924,Mark,Hell's Kitchen,40.75979,-73.99119,Private room,52.0,30,191,2019-05-16,1.65,1,191,10036,0,Manhattan
16580,"Sunny, Modern room in East Village!",64442,Reka,East Village,40.72649,-73.97904,Private room,80.0,1,338,2019-07-01,4.72,2,72,10009,0,Manhattan
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Williamsburg,40.70933,-73.96792,Entire home/apt,275.0,1,148,2019-06-23,1.4,1,362,11211,0,Brooklyn
16821,Large Room in Amazing East Village Apt,4396,Casey,East Village,40.72298,-73.98474,Private room,99.0,1,106,2019-06-21,1.26,2,336,10009,0,Manhattan
16974,SpaHa Loft: Enormous and Bright,65837,Robin,East Harlem,40.80164,-73.93922,Entire home/apt,225.0,4,190,2019-06-23,1.64,1,215,10035,0,Manhattan
17092,Cool Room in Hell's Kitchen,66243,Enzo,Hell's Kitchen,40.76342,-73.98865,Private room,51.0,7,23,2019-06-01,0.43,1,88,10019,0,Manhattan
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Washington Heights,40.83139,-73.94095,Private room,65.0,2,49,2019-06-18,1.6,2,336,10032,0,Manhattan
17747,BLUE TRIM GUEST HOUSE,68599,George,Clinton Hill,40.68346,-73.96374,Private room,105.0,2,105,2019-06-26,0.92,1,304,11238,0,Brooklyn
18127,Charming East Village One Bedroom Flat,69829,Josh,East Village,40.72828,-73.98801,Entire home/apt,190.0,5,21,2019-01-02,0.2,1,224,10003,0,Manhattan
18152,Manhattan Room,69942,Victoria,Upper East Side,40.76865,-73.95058,Private room,200.0,1,142,2019-07-06,1.5,1,322,10021,1,Manhattan
18198,Little King of Queens,70091,Justin,Woodside,40.75038,-73.90334,Private room,70.0,30,25,2019-05-31,0.22,1,324,11377,0,Queens
18590,Fort Greene Retreat on the Park,71512,Blaise,Fort Greene,40.6932,-73.97267,Private room,95.0,3,143,2019-06-16,1.28,1,132,11237,0,Brooklyn
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Chelsea,40.74138,-74.00197,Private room,150.0,3,167,2019-05-28,1.65,1,295,10011,0,Manhattan
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Williamsburg,40.71154,-73.96112,Private room,145.0,3,61,2019-04-22,0.54,4,238,11211,0,Brooklyn
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Harlem,40.82915,-73.95136,Entire home/apt,110.0,31,54,2019-03-23,0.49,1,209,10031,0,Manhattan
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Lower East Side,40.71851,-73.98892,Entire home/apt,285.0,5,70,2019-06-30,0.62,1,328,10002,0,Manhattan
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Flatbush,40.65401,-73.96323,Entire home/apt,130.0,6,16,2019-06-15,0.15,1,38,11226,0,Brooklyn
19319,Private room Great Deal at Lower East Side,44263,Ana,Lower East Side,40.7114,-73.98794,Private room,94.0,30,94,2019-04-08,0.84,1,188,10002,0,Manhattan
20299,Oh glorious spring!,62407,Edward,East Village,40.72334,-73.9844,Private room,60.0,3,194,2019-06-30,1.73,1,26,10009,0,Manhattan
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Williamsburg,40.71156,-73.96218,Private room,85.0,3,174,2019-06-22,1.54,4,288,11211,0,Brooklyn
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Bushwick,40.70032,-73.9383,Private room,65.0,4,24,2019-05-26,0.28,1,317,11206,0,Brooklyn
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Prospect Heights,40.68233,-73.97261,Entire home/apt,131.0,4,166,2019-06-27,3.4,1,207,11217,0,Brooklyn
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Clinton Hill,40.68634,-73.966,Private room,98.0,7,16,2019-05-31,0.2,6,185,11238,0,Brooklyn
20853,2-bed brownstone duplex + garden,79070,Tracy,Prospect Heights,40.68035,-73.97162,Entire home/apt,250.0,7,21,2019-05-21,0.3,1,158,11217,0,Brooklyn
21293,Sunny Apartment in Artist Home,44145,Tyrome,Bushwick,40.70093,-73.92609,Entire home/apt,105.0,3,118,2019-06-18,1.05,2,9,11221,0,Brooklyn
21456,Light-filled classic Central Park ,42032,Dana,Upper West Side,40.79764,-73.96177,Entire home/apt,140.0,3,81,2019-07-07,0.71,1,198,10025,0,Manhattan
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Chelsea,40.74008,-74.00271,Private room,98.0,30,30,2019-05-01,0.27,2,364,100014,0,Manhattan
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Harlem,40.82279,-73.95139,Private room,60.0,3,11,2019-01-03,0.87,3,219,10031,0,Manhattan
23135,House On Henry (3rd FLR Suite),11481,Annette,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175.0,2,233,2019-06-24,2.09,3,342,11231,0,Brooklyn
23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,West Village,40.73096,-74.00319,Entire home/apt,500.0,4,46,2019-05-18,0.55,2,243,10014,0,Manhattan
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Williamsburg,40.71332,-73.94177,Private room,101.0,3,335,2019-05-29,3.02,1,152,11211,0,Brooklyn
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125.0,90,162,2019-06-28,1.46,2,137,11233,0,Brooklyn
25696,"1,800 sq foot in luxury building",107628,Dena,Harlem,40.8092,-73.94421,Private room,100.0,2,170,2019-06-23,1.61,1,346,10037,0,Manhattan
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Hell's Kitchen,40.75527,-73.99291,Private room,59.0,2,334,2019-06-16,3.0,2,279,10018,1,Manhattan
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Clinton Hill,40.68698,-73.96572,Private room,125.0,2,19,2019-06-02,0.2,6,250,11238,0,Brooklyn
26969,2 story family home in Williamsburg,115307,Alexandra,Williamsburg,40.71942,-73.95748,Entire home/apt,325.0,3,324,2019-06-23,3.01,1,107,11249,0,Brooklyn
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Upper West Side,40.77823,-73.97637,Entire home/apt,235.0,6,27,2019-04-27,0.27,1,199,10023,0,Manhattan
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,East Village,40.72555,-73.97965,Entire home/apt,225.0,1,115,2019-06-07,1.05,4,299,10009,0,Manhattan
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,South Slope,40.66831,-73.98604,Private room,99.0,2,354,2019-05-20,3.2,3,20,11215,0,Brooklyn
27644,Sugar Hill Rest Stop ,119510,Emma,Harlem,40.82754,-73.94919,Entire home/apt,170.0,2,195,2019-07-01,2.03,1,318,10031,0,Manhattan
27759,apartment next to Central park,119900,Sylvie,Upper West Side,40.77842,-73.97556,Entire home/apt,170.0,7,13,2019-06-26,0.12,1,224,10023,0,Manhattan
29013,B & B Room 1,35935,Angela,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70.0,3,63,2019-05-14,0.58,2,310,11216,0,Brooklyn
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Harlem,40.81618,-73.94894,Entire home/apt,120.0,3,155,2019-06-20,1.42,3,213,10027,0,Manhattan
29628,Sunny Room in New Condo,127608,Chris,Clinton Hill,40.68414,-73.96351,Private room,89.0,3,260,2019-07-03,2.35,1,278,11238,0,Brooklyn
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,East Village,40.72392,-73.99143,Entire home/apt,185.0,5,73,2019-06-25,0.66,1,209,10013,1,Manhattan
30031,NYC artists’ loft with roof deck,129352,Sol,Greenpoint,40.73494,-73.9503,Private room,50.0,3,193,2019-05-20,1.86,1,0,11222,0,Brooklyn
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Lower East Side,40.71341,-73.98856,Entire home/apt,105.0,3,32,2019-06-14,0.29,1,16,10002,0,Manhattan
31130,Most Central Location!,117287,Lara,Hell's Kitchen,40.76754,-73.98399,Private room,130.0,2,50,2019-05-26,0.45,3,234,10019,0,Manhattan
31555,Luminous Beautiful West Village Studio,135619,Tom,West Village,40.73442,-74.00303,Entire home/apt,115.0,29,26,2019-07-01,0.25,1,12,10014,0,Manhattan
31902,Sanctuary in East Flatbush,137292,Sunder,Flatlands,40.63188,-73.93248,Private room,77.0,2,2,2019-01-01,0.02,1,178,11234,0,Brooklyn
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Clinton Hill,40.6873,-73.9634,Private room,76.0,2,426,2019-06-24,3.89,3,275,11238,0,Brooklyn
32023,FLAT MACDONOUGH,137974,Khem,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125.0,3,227,2019-06-23,2.09,2,163,11233,0,Brooklyn
32037,Huge Private  Floor at The Waverly,116599,Sahr,Clinton Hill,40.6863,-73.96765,Private room,135.0,4,84,2019-07-01,0.77,3,365,11238,0,Brooklyn
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115.0,3,124,2019-06-20,1.72,2,170,11233,0,Brooklyn
32969,Light filled Williamsburg Apartment,142833,Katherine,Williamsburg,40.71596,-73.93938,Entire home/apt,160.0,3,11,2019-07-02,0.11,1,188,11211,0,Brooklyn
33009,Retreat in Williamsburg,143027,Ming,Williamsburg,40.71492,-73.95935,Entire home/apt,195.0,4,240,2019-06-17,2.19,1,214,11211,0,Brooklyn
33014,NYC Zen,143048,Paula,East Village,40.72354,-73.98295,Entire home/apt,195.0,3,30,2019-06-17,0.28,1,248,10009,0,Manhattan
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Williamsburg,40.71165,-73.96087,Private room,80.0,3,200,2019-06-22,1.86,4,262,11211,0,Brooklyn
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Fort Greene,40.69101,-73.97312,Private room,44.0,8,27,2019-06-29,1.05,5,280,11205,0,Brooklyn
35526,Sun Filled Classic West Village Apt,120291,Karen,West Village,40.73474,-74.00101,Private room,156.0,4,79,2019-06-22,0.74,1,307,10014,0,Manhattan
36133,Classic Artist Loft Williamsburg,142684,White,Williamsburg,40.71536,-73.96057,Private room,125.0,3,155,2019-06-13,1.61,1,1,11249,0,Brooklyn
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,West Village,40.73226,-74.00401,Entire home/apt,225.0,45,134,2019-03-31,1.24,1,312,10014,0,Manhattan
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Upper East Side,40.77711,-73.9527,Entire home/apt,219.0,4,126,2019-06-26,1.16,2,290,10028,1,Manhattan
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Upper East Side,40.77456,-73.95323,Entire home/apt,99.0,1,234,2019-06-08,2.6,2,164,10028,1,Manhattan
39282,Indie-Chic Share In Williamsburg,168525,Gus,Williamsburg,40.71088,-73.95055,Private room,69.0,4,202,2019-05-28,1.86,2,53,11206,0,Brooklyn
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Sunnyside,40.74559,-73.92313,Private room,79.0,30,28,2019-04-12,0.26,1,126,11104,0,Queens
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135.0,2,309,2019-06-22,2.86,2,3,11216,0,Brooklyn
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Gowanus,40.66858,-73.99083,Entire home/apt,250.0,2,80,2019-07-06,2.17,1,0,11215,0,Brooklyn
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Clinton Hill,40.68843,-73.96408,Private room,70.0,2,294,2019-06-24,3.47,3,336,11238,0,Brooklyn
42729,House On Henry (2nd FLR Suite),11481,Annette,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165.0,2,150,2019-06-18,1.4,3,342,11231,0,Brooklyn
42882,New York room with a view,185978,Newyorkroomwithaview,St. George,40.64524,-74.08088,Private room,70.0,2,166,2019-06-13,1.66,1,312,10301,0,Staten Island
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Bushwick,40.70641,-73.91765,Private room,50.0,2,47,2019-06-19,0.94,1,37,11237,0,Brooklyn
44096,Room with a View,190409,Waundell,Highbridge,40.83232,-73.93184,Private room,40.0,1,219,2019-07-04,2.04,3,353,10452,0,The Bronx
44212,West Inn 2 - East Village,72062,Bruce,East Village,40.72518,-73.98034,Private room,125.0,1,84,2019-06-23,0.78,4,310,10009,0,Manhattan
44221,Financial District Luxury Loft,193722,Coral,Financial District,40.70666,-74.01374,Entire home/apt,196.0,3,114,2019-06-20,1.06,1,0,10006,0,Manhattan
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Fort Greene,40.69098,-73.97113,Private room,110.0,2,213,2019-06-24,2.0,2,321,11238,0,Brooklyn
44288,Your own Lovely West Village Studio,193637,Sara,West Village,40.73756,-74.00405,Entire home/apt,170.0,3,86,2019-06-01,0.8,1,246,10014,0,Manhattan
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Harlem,40.81526,-73.94791,Entire home/apt,165.0,3,80,2019-05-26,0.75,3,231,10027,0,Manhattan
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Fort Greene,40.68863,-73.97691,Private room,65.0,2,206,2019-06-30,1.92,2,0,11217,0,Brooklyn
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Ridgewood,40.70382,-73.89797,Entire home/apt,350.0,8,10,2019-05-12,0.11,5,365,11385,0,Queens
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Morningside Heights,40.80549,-73.95924,Private room,99.0,4,122,2019-05-14,1.18,2,233,10027-4840,0,Manhattan
45940,Bright Spacious Luxury Condo,204724,Miyoung,Williamsburg,40.71627,-73.9587,Entire home/apt,200.0,4,33,2019-04-08,0.58,1,1,11211,0,Brooklyn
46544,Park Slope haven 15 mins from Soho,8198,Monica,Park Slope,40.67994,-73.97863,Entire home/apt,150.0,5,52,2019-06-05,0.5,1,18,11217,0,Brooklyn
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90.0,3,126,2019-05-19,1.17,4,343,11216,0,Brooklyn
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Prospect Heights,40.67868,-73.97307,Private room,120.0,3,51,2019-06-24,0.48,3,250,11217,0,Brooklyn
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Upper East Side,40.76834,-73.95334,Private room,75.0,3,199,2019-06-24,1.85,1,326,10021,1,Manhattan
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275.0,1,41,2019-06-26,0.38,1,299,10036,0,Manhattan
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Lower East Side,40.71882,-73.98852,Entire home/apt,299.0,2,109,2019-06-15,1.04,1,207,10002,0,Manhattan
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,South Slope,40.6693,-73.98804,Entire home/apt,135.0,5,151,2019-06-22,1.43,3,162,11215,0,Brooklyn
51485,Lower East Side $57~/night,236655,Erina,Lower East Side,40.72319,-73.99201,Private room,83.0,1,285,2019-06-22,2.69,1,7,10002,0,Manhattan
51572,Prime Location in Manhattan,237329,Lee,Chelsea,40.74859,-73.99671,Private room,123.0,1,375,2019-06-18,3.52,1,328,10001,0,Manhattan
51850,( F) Excellent/Pvt Rm,27848,Jullett,Jamaica,40.67252,-73.76597,Private room,55.0,2,52,2019-05-20,0.49,2,365,11434,0,Queens
53137,"Quiet, sunny Midtown Manhattan apt.",240360,Marlaine,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195.0,5,10,2019-07-01,1.01,1,0,10036,0,Manhattan
53477,3 floors of luxury!,204539,Mark,Middle Village,40.71546,-73.87854,Entire home/apt,265.0,7,38,2019-04-27,0.38,5,365,11379,0,Queens
54158,The Institute—Heart of Williamsburg,10889,Bob,Williamsburg,40.7195,-73.95976,Entire home/apt,249.0,2,358,2019-06-20,3.44,2,164,11249,0,Brooklyn
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Prospect Heights,40.6787,-73.97262,Private room,100.0,2,226,2019-06-06,2.12,3,250,11217,0,Brooklyn
54544,City Room - Private Penthouse Apt.,256161,Wayne,Harlem,40.81035,-73.94598,Entire home/apt,121.0,1,104,2019-06-22,1.0,5,247,10027,0,Manhattan
54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Highbridge,40.83075,-73.93058,Private room,45.0,1,138,2019-06-30,1.45,3,323,10452,0,The Bronx
54860,Great apartment with private bathroom and entrance,258164,Jenny,East Harlem,40.79958,-73.94275,Private room,100.0,5,204,2019-06-23,1.92,1,192,10035,0,Manhattan
55467,Private Garden Apt • New Renovation,260709,Paul,Williamsburg,40.71625,-73.93845,Entire home/apt,140.0,2,253,2019-07-02,3.04,1,125,11211,0,Brooklyn
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71.0,2,23,2019-07-01,0.22,1,91,11233,0,Brooklyn
55737,Sleek & Comfortable Soho Apt,263414,Pete,West Village,40.72861,-74.0049,Entire home/apt,199.0,5,129,2019-05-19,1.22,1,286,10014,0,Manhattan
55959,Spacious Williamsburg Share w/ LOFT BED,168525,Gus,Williamsburg,40.70979,-73.95162,Private room,69.0,4,82,2019-06-10,1.13,2,60,11211,0,Brooklyn
56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,East Village,40.72752,-73.98432,Entire home/apt,130.0,1,204,2019-07-01,2.04,1,192,10009,0,Manhattan
56525,1 Bedroom Loft w/ Private Roof Deck,268014,Alex,Greenpoint,40.729,-73.95829,Entire home/apt,195.0,2,69,2019-06-13,0.65,1,58,11222,0,Brooklyn
56859,City Room - Private & Comfy Bedroom,256161,Wayne,Harlem,40.81219,-73.94499,Private room,64.0,1,192,2019-06-03,1.84,5,245,10027,0,Manhattan
57166,Elegant NYC Pad,272006,Vasili,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140.0,2,17,2019-06-17,0.16,1,292,11105,0,Queens
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Cobble Hill,40.68926,-73.99386,Entire home/apt,159.0,2,222,2019-06-24,2.12,1,279,11201,0,Brooklyn
57468,"Modern, Large East Village Loft",239208,Ori,East Village,40.72821,-73.98701,Entire home/apt,189.0,3,205,2019-06-23,1.96,1,0,10003,0,Manhattan
